,IRUC,L,K,T,VP,year
104,00000010142,0.0,121191.0,664572.0,22027912.0,2016
105,00000010147,556.0,5869924.0,16954721.0,135068645.0,2016
106,00000010161,37.0,0.0,6465639.0,67323900.0,2016
107,00000010172,115.0,0.0,2118721.0,34931938.0,2016
108,00000010184,0.0,0.0,4592905.0,1022614797.0,2016
109,00000010193,0.0,0.0,1454988.0,43721052.0,2016
110,00000010201,267.0,0.0,2594775.0,36959392.0,2016
111,00000010208,0.0,1060627.0,4568374.0,103626864.0,2016
112,00000010223,22.0,0.0,99988910.0,1989054266.0,2016
113,00000010225,0.0,0.0,3410302.0,34431305.0,2016
114,00000010231,0.0,1459993.0,7811178.0,103424188.0,2016
115,00000010238,0.0,0.0,5266325.0,109435370.0,2016
116,00000010246,0.0,236146.0,1592148.0,33812077.0,2016
117,00000010253,0.0,0.0,34994631.0,2373488675.0,2016
118,00000010274,41.0,0.0,2461577.0,419294281.0,2016
119,00000010278,208.0,1405775.0,2494118.0,157567120.0,2016
120,00000010280,0.0,0.0,1596906.0,109681389.0,2016
121,00000010283,0.0,93505.0,1269252.0,20258594.0,2016
122,00000010284,287.0,0.0,2884569.0,173204798.0,2016
123,00000010288,175.0,0.0,1943580.0,25503120.0,2016
124,00000010289,0.0,0.0,186204.0,13400011.0,2016
125,00000010291,0.0,0.0,2850028.0,40639201.0,2016
126,00000010293,51.0,621210.0,2747411.0,47041144.0,2016
127,00000010295,221.0,0.0,4901788.0,92432441.0,2016
128,00000010299,0.0,0.0,1017471.0,19994662.0,2016
129,00000010302,233.0,322701.0,-17448672.0,120138312.0,2016
130,00000010313,34.0,656030.0,2560992.0,52259632.0,2016
131,00000010315,35.0,4373365.0,6216499.0,116399754.0,2016
132,00000010317,50.0,116208.0,2034136.0,14824045.0,2016
133,00000010322,27.0,489285.0,-938416.0,92857905.0,2016
134,00000010325,5.0,44401.0,1043952.0,27727112.0,2016
135,00000010330,0.0,302224.0,883079.0,10242337.0,2016
136,00000010334,16.0,203466.0,1961683.0,39718954.0,2016
137,00000010335,612.0,309532.0,4499033.0,55564038.0,2016
